13:48:53: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 53] Logger initialized
13:48:53: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 4.0)
13:48:54: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 1.0)
13:48:54: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.6666666666666666)
13:48:55: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.5)
13:48:55: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.4)
13:48:56: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.3333333333333333)
13:48:56: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 0.0, 0.2857142857142857)
13:48:57: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 2.5, 0.25)
13:48:57: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 4.444444444444445, 0.2222222222222222)
13:48:58: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 80] AVERAGE VELOCITY: (0.0, 6.0, 0.2)
