22:36:37: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 47] Logger initialized
22:36:37: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 58] HeartbeatSender created, entering main loop
22:36:38: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:39: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:40: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:41: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:42: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:43: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:44: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:45: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:46: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:47: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:48: [DEBUG] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender.py | run | 53] Heartbeat sent
22:36:48: [INFO] [C:\Dev\Programming\UWARG\autonomy-bootcamp-2025-p2\modules\heartbeat\heartbeat_sender_worker.py | heartbeat_sender_worker | 68] Heartbeat worker shutting down
